used,year,doy,sod,time,ref_clock,n_isb,n_unknowns,x_m,y_m,z_m,clock_m,gps_isb_m,gal_isb_m,glo_isb_m,geo_isb_m,bds_isb_m,qzss_isb_m,irnss_isb_m
1,2015,006,635.00,00:10:35.00,GPS,0,4,4637950.0654,121207.9182,4362373.9755,2522268.9505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,640.00,00:10:40.00,GPS,0,4,4637950.8959,121208.0186,4362375.0516,2522270.0529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,645.00,00:10:45.00,GPS,0,4,4637951.0737,121208.5181,4362374.1698,2522269.6786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,650.00,00:10:50.00,GPS,0,4,4637950.0322,121208.2957,4362373.0894,2522268.5648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,655.00,00:10:55.00,GPS,0,4,4637951.3897,121208.3903,4362374.3435,2522269.7472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,660.00,00:11:00.00,GPS,0,4,4637950.7175,121208.0909,4362374.5991,2522269.5121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,665.00,00:11:05.00,GPS,0,4,4637950.5475,121208.1795,4362374.1362,2522269.3051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,670.00,00:11:10.00,GPS,0,4,4637951.7948,121208.4035,4362374.1692,2522269.7201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,675.00,00:11:15.00,GPS,0,4,4637951.0774,121208.4040,4362374.6886,2522269.5548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,680.00,00:11:20.00,GPS,0,4,4637950.8848,121208.0011,4362374.4154,2522269.6396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,685.00,00:11:25.00,GPS,0,4,4637950.9271,121208.1340,4362374.1008,2522269.2789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,690.00,00:11:30.00,GPS,0,4,4637950.8271,121208.4514,4362374.0802,2522269.4643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,695.00,00:11:35.00,GPS,0,4,4637951.8784,121208.1877,4362375.4462,2522270.2525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,700.00,00:11:40.00,GPS,0,4,4637951.9209,121208.5025,4362374.6166,2522269.9751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,705.00,00:11:45.00,GPS,0,4,4637952.1416,121208.7475,4362374.6799,2522270.0136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,710.00,00:11:50.00,GPS,0,4,4637952.7008,121208.7874,4362374.9190,2522270.5255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,715.00,00:11:55.00,GPS,0,4,4637952.0415,121208.1482,4362374.0982,2522269.8243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,720.00,00:12:00.00,GPS,0,4,4637952.5866,121208.3493,4362374.8669,2522270.1203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,725.00,00:12:05.00,GPS,0,4,4637953.3890,121208.7919,4362376.1069,2522271.2975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,730.00,00:12:10.00,GPS,0,4,4637951.7823,121208.3846,4362374.8936,2522269.9812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,735.00,00:12:15.00,GPS,0,4,4637952.9043,121208.2356,4362375.2510,2522270.5628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,740.00,00:12:20.00,GPS,0,4,4637953.2213,121208.7968,4362375.0939,2522270.8368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,745.00,00:12:25.00,GPS,0,4,4637951.9138,121208.1969,4362374.7117,2522269.9634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,750.00,00:12:30.00,GPS,0,4,4637951.4355,121208.5516,4362373.8225,2522269.1735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,755.00,00:12:35.00,GPS,0,4,4637952.8235,121208.7765,4362375.0877,2522270.5999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,760.00,00:12:40.00,GPS,0,4,4637952.8454,121208.7655,4362375.6415,2522270.8992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
